speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
76.1619550022601,0.11990526478061,2.75,0,4.56425344851656,3,6.6395,5365.40279614424,67.6919440771153,51.0039567756519,-3.57840616521462,214.704369912877,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.41886987388384E-07,-4.27617276460417E-06,2.68830404279482,-0.00488623203799556,0,3027.71159383479,
76.3550190457899,0.131722188334808,3,0,4.53831327033044,3,6.6395,5379.00363345151,67.4199273309698,50.9277710062848,-3.59657106660464,215.794263996278,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,8.06289957961279E-08,-1.42904346576987E-06,2.9321344470743,-0.00537485524179512,0,3027.6934289334,
76.5465028699286,0.143509232739319,3.25,0,4.51257748119359,3,6.6395,5392.49314859617,67.1501370280766,50.8511824398075,-3.61463271430708,216.877962858425,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.68763319320426E-08,-4.77555322920663E-07,3.17596485135379,-0.00586347844559467,0,3027.67536728569,
76.736426909131,0.155266791429222,3.5,0,4.48704352218472,3,6.6395,5405.87278113005,66.8825443773991,50.7742080462564,-3.6325919230069,217.955515380414,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,8.95877731068088E-09,-1.59584313527899E-07,3.41979525563327,-0.00635210164939422,0,3027.65740807699,
76.9248111924195,0.166995249949525,3.75,0,4.46170888438024,3,6.6395,5419.14394204333,66.6171211591333,50.6968643251593,-3.65044949714738,219.026969828843,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.98625910356029E-09,-5.33267558575313E-08,3.66362565991275,-0.00684072485319377,0,3027.63955050285,
77.1116753545205,0.178694986173105,4,0,4.43657110748583,3,6.6395,5432.30801454917,66.3538397090166,50.6191673202631,-3.66820623113178,220.092373867907,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,9.95419701186764E-10,-1.78192235034281E-08,3.90745606419223,-0.00732934805699332,0,3027.62179376887,
77.2970386466119,0.190366370510979,4.25,0,4.41162777851614,3,6.6395,5445.36635484072,66.0926729031855,50.5411326337106,-3.6858629095192,221.151774571152,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,3.31806567062255E-10,-5.95416986434064E-09,4.15128646847171,-0.00781797126079288,0,3027.60413709048,
77.4809199466946,0.202009766115236,4.5,0,4.38687653052037,4,5.6097,4611.72367597603,78.1062105921917,50.5840264961194,-3.70342030721527,222.205218432916,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,1.10602189020752E-10,-1.98949422378423E-09,4.3951168727512,-0.00830659446459243,0,3027.58657969278,
77.6638778677682,0.213625529074932,4.75,0,4.37523087540637,4,5.6097,4622.61347151412,78.019092227887,50.6469182035344,-3.7209309424421,223.255856546526,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,3.68673963402505E-11,-6.64742338500933E-10,4.63894727703068,-0.00879521766839198,0,3027.56906905756,
77.8460122799749,0.225213928015458,5,0,4.36582245220292,4,5.6097,4633.45425117396,77.9323659906083,50.7092621713648,-3.73840378202257,224.304226921354,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,1.22891321134168E-11,-2.22104004557462E-10,4.88277768131016,-0.00928384087219153,0,3027.55159621798,
