speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
77.7925099476935,0.105831158247259,2.5,0,5.92035461930864,1,3,2476.21249874017,229.284062594487,79.7308383056573,-3.73326685637933,223.99601138276,9.69453670204962,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,7.41585559159941E-07,-1.33823375754502E-05,2.44447363851534,-0.00439760883419601,0,3380.71673314362,
78.0389146842545,0.117400395447668,2.75,0,5.91618608644483,1,3,2484.05580510516,228.695814617113,79.7781783761617,-3.75695426541245,225.417255924747,9.46258225276865,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.47195186386647E-07,-4.47500884228641E-06,2.68830404279482,-0.00488623203799556,0,3380.69304573459,
78.284368463465,0.128933103246609,3,0,5.91202053541283,1,3,2491.86884155755,228.109836883184,79.824047389377,-3.78062473410955,226.837484046573,9.23033924494374,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,8.23983954622157E-08,-1.49639441933114E-06,2.9321344470743,-0.00537485524179512,0,3380.66937526589,
78.5288803651025,0.14042965125057,3.25,0,5.90785796342485,1,3,2499.65189711563,227.526107716328,79.8684619163327,-3.80427827823424,228.256696694054,8.99780365656095,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.74661318207386E-08,-5.00366996660397E-07,3.17596485135379,-0.00586347844559467,0,3380.64572172177,
78.7724593213088,0.151890402961478,3.5,0,5.90369836770878,1,3,2507.40525609831,226.944605792627,79.9114382556891,-3.82791491346299,229.674894807779,8.76497149622145,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,9.15537727357952E-09,-1.67309944461126E-07,3.41979525563327,-0.00635210164939422,0,3380.62208508654,
79.0151141199546,0.163315715916719,3.75,0,5.89954174550783,1,3,2515.1291982322,226.365310132585,79.9529924399435,-3.85153465538724,231.092079323234,8.53183880216515,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.05179242452651E-09,-5.59429674485774E-08,3.66362565991275,-0.00684072485319377,0,3380.59846534461,
79.2568534079068,0.174705941825065,4,0,5.89538809408016,1,3,2522.82399875562,225.788200093329,79.9931402414568,-3.87513751951534,232.50825117092,8.29840164132142,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.01726414150884E-09,-1.87050990292936E-08,3.90745606419223,-0.00732934805699332,0,3380.57486248049,
79.4976856942004,0.186061426698632,4.25,0,5.89123741069856,1,3,2530.48992851957,225.213255361032,80.0318971783045,-3.89872352127448,233.923411276469,8.06465610838657,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.39088047169612E-10,-6.2541085050913E-09,4.15128646847171,-0.00781797126079288,0,3380.55127647873,
79.7376193531192,0.197382510981035,4.5,0,5.88708969265008,1,3,2538.12725408578,224.640455943567,80.0692785199596,-3.92229267601257,235.337560560754,7.83059832492602,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.13029349056537E-10,-2.09103747649569E-09,4.3951168727512,-0.00830659446459243,0,3380.52770732399,
79.9766626271883,0.208669529671853,4.75,0,5.8829449372357,1,3,2545.73623782197,224.069782163352,80.1052992928128,-3.94584499899999,236.750699939999,7.59622443850145,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.76764496855124E-11,-6.9911616041792E-10,4.63894727703068,-0.00879521766839198,0,3380.504155001,
80.2148236300814,0.219922812447546,5,0,5.87880314177006,1,3,2553.3171379944,223.50121465042,80.1399742855357,-3.96938050543136,238.162830325882,7.3615306218211,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.25588165618375E-11,-2.33737340678757E-10,4.88277768131016,-0.00928384087219153,0,3380.48061949457,
80.4521103494461,0.231142683778941,5.25,0,5.8746643035811,1,3,2560.8702088578,222.934734335665,80.1733180542927,-3.99289921042726,239.573952625635,7.12651307191286,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.18627218727916E-12,-7.81444609065116E-11,5.12660808558964,-0.00977246407599108,0,3380.45710078957,
80.6885306496497,0.242329463045399,5.5,0,5.87052842000979,1,3,2568.39570074273,222.370322444295,80.2053449278062,-4.01640112903578,240.984067742147,6.8911680093193,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.39542406242639E-12,-2.61252077340104E-11,5.37043848986912,-0.0102610872797906,0,3380.43359887096,
