speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
77.2214754722746,0.106569849559985,2.5,0,5.68548691467679,2,13.45377,11023.2832475113,62.3404992117476,96.5041063483325,-3.67866006261962,220.719603757177,43.3258233518097,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,7.3634927410055E-07,-1.31913793609764E-05,2.44447363851534,-0.00439760883419601,0,2448.82133993738,
77.4597910351631,0.118224638522456,2.75,0,5.67996277600347,2,13.45377,11057.30253989,62.2191042788987,96.6134293499914,-3.70140075011983,222.08404500719,43.2274546554603,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.45449758033517E-07,-4.4107943332506E-06,2.68830404279482,-0.00488623203799556,0,2448.79859924988,
77.6971425504204,0.129843569944456,3,0,5.67444406596092,2,13.45377,11091.1842154978,62.090439687983,96.7090695002796,-3.72411909368829,223.447145621298,43.1172146771985,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,8.18165860111723E-08,-1.47480220695576E-06,2.9321344470743,-0.00537485524179512,0,2448.77588090631,
77.9335390911286,0.141427007513166,3.25,0,5.66893077834372,2,13.45377,11124.9295695074,61.9622927740223,96.8031078393307,-3.74681511879409,224.808907127646,42.9998702678669,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.72721953370574E-08,-4.93107093698455E-07,3.17596485135379,-0.00586347844559467,0,2448.75318488121,
78.168989584364,0.15297530893122,3.5,0,5.66342290697105,2,13.45377,11158.5398762495,61.8346586977866,96.8955625690642,-3.76948885080711,226.169331048426,42.882515206942,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,9.09073177901914E-09,-1.64869130324079E-07,3.41979525563327,-0.00635210164939422,0,2448.73051114919,
78.4035028145016,0.16448882605336,3.75,0,5.65792044568613,2,13.45377,11192.0163896842,61.7075326974016,96.9864515950053,-3.79214031500005,227.528418900003,42.7651478970214,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,3.03024392633971E-09,-5.51224093476895E-08,3.66362565991275,-0.00684072485319377,0,2448.707859685,
78.6370874264239,0.175967905019122,4,0,5.65242338835579,2,13.45377,11225.3603438593,61.5601768108183,97.0431087162246,-3.81476953655044,228.886172193027,42.6477667631501,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,1.0100813087799E-09,-1.84292603303572E-08,3.90745606419223,-0.00732934805699332,0,2448.68523046345,
78.8697519286368,0.187412886381664,4.25,0,5.64693172886994,2,13.45377,11258.5729533549,61.4120951124303,97.0961055312258,-3.83737654054253,230.242592432552,42.5110146600043,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,3.36693769593302E-10,-6.16138864454994E-09,4.15128646847171,-0.00781797126079288,0,2448.66262345946,
79.1015046962965,0.198824105232895,4.5,0,5.64144546114114,2,13.45377,11291.6554137156,61.2645936968093,97.1475214435369,-3.85996135196911,231.597681118147,42.372924709555,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,1.12231256531101E-10,-2.05987280656533E-09,4.3951168727512,-0.00830659446459243,0,2448.64003864803,
79.3323539741504,0.210201891325024,4.75,0,5.63596457910414,2,13.45377,11324.6089018704,61.1176673165015,97.1973743846999,-3.88252399573332,232.951439743999,42.2347138224789,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,3.74104188437002E-11,-6.88641862048423E-10,4.63894727703068,-0.00879521766839198,0,2448.61747600427,
